source,filename,relative_path,absolute_path,pages,sha256,title,author
NCERT,fegp101.pdf,fegp1dd/fegp101.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp101.pdf,17,9a2ff6ddbbd42bbd140a340c20ab27d4e7b8626148518acbb5adca7b93644347,,
NCERT,fegp102.pdf,fegp1dd/fegp102.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp102.pdf,53,057f2a0a5e74afd850f2b8e41315d58fa2b9409fbd587f7d9b92a7420f190db1,,
NCERT,fegp103.pdf,fegp1dd/fegp103.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp103.pdf,32,c33f3769dc238bf1593ae3bc16c8721d422fe4e57d79b18f085b1ed1669f9cdb,,
NCERT,fegp104.pdf,fegp1dd/fegp104.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp104.pdf,44,8f7d28bab6f2108de771ff4a16c03a383b0e23a2f5699f8cf41915bbf0a921f2,,
NCERT,fegp105.pdf,fegp1dd/fegp105.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp105.pdf,33,467aa97ca5a18533a7738ddd57020de3d322c63013018edd06714ac23436dabf,,
NCERT,fegp106.pdf,fegp1dd/fegp106.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp106.pdf,29,f03f2030420f0f1aa173348bd4fbb3b133a4b8de93cb56db9f5085d5c03a4d53,,
NCERT,fegp107.pdf,fegp1dd/fegp107.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp107.pdf,50,c142b8d472ced617817fb9986e73e44656a9d8c0693e80228f7e0a21d8817e12,,
NCERT,fegp108.pdf,fegp1dd/fegp108.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp108.pdf,38,7c777e26cad8154b5bb55308c36cc47173084ad1ec1ad3c2f5a7cf863e132e53,,
NCERT,fegp109.pdf,fegp1dd/fegp109.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp109.pdf,40,2a675ebe6523c343d88ae43ba173a8dabac2881e3caabeffa8d0379435f02f04,,
NCERT,fegp110.pdf,fegp1dd/fegp110.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp110.pdf,56,2c286fb7a738c1f17824a338248b40ccaaf0733f6f37b356c6349e27e317f2ec,,
NCERT,fegp1ps.pdf,fegp1dd/fegp1ps.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/fegp1dd/fegp1ps.pdf,20,902147cff853df0023b4e13293711573562bf42abf91253e5045e877c76d51df,,
